date,title,trail_text,source,section,url,query,sentiment_text,news_vader_compound,news_vader_pos,news_vader_neu,news_vader_neg,news_sentiment_label
2021-12-09,Queensland hospitals ‘stretched to breaking point’ – as it happened,A trivia night at a Sydney pub is the source of a new Covid cluster after 44 people were diagnosed with the virus. This blog is now closed,The Guardian,Australia news,https://www.theguardian.com/australia-news/live/2021/dec/09/australia-news-live-update-increase-in-nsw-covid-cases-linked-to-more-parties-omicron-could-become-dominant-strain-pfizer-children-scott-morrison-gladys-berejiklian-moderna-vaccine,"""Commonwealth Bank""",Queensland hospitals ‘stretched to breaking point’ – as it happened A trivia night at a Sydney pub is the source of a new Covid cluster after 44 people were diagnosed with the virus. This blog is now closed,0.0,0.0,1.0,0.0,neutral
2021-12-11,The search is on for $50m in lost cryptocurrency after two Australian exchanges collapse,Implosion of online trading hubs highlights pitfalls of what one legal expert describes as ‘tulipmania’ investments,The Guardian,Technology,https://www.theguardian.com/technology/2021/dec/12/the-search-is-on-for-50m-in-lost-cryptocurrency-after-two-australian-exchanges-collapse,"""Commonwealth Bank""",The search is on for $50m in lost cryptocurrency after two Australian exchanges collapse Implosion of online trading hubs highlights pitfalls of what one legal expert describes as ‘tulipmania’ investments,-0.6124,0.044,0.794,0.162,negative
2021-12-15,Aboriginal people stung by funeral scheme the watchdog ruled ‘deceptive’ may not get a cent back,Advocates are appealing for government help as Aboriginal Community Benefit Fund No. 2 goes into administration,The Guardian,Australia news,https://www.theguardian.com/australia-news/2021/dec/16/aboriginal-people-stung-by-funeral-scheme-the-watchdog-ruled-deceptive-may-not-get-a-cent-back,"""Commonwealth Bank""",Aboriginal people stung by funeral scheme the watchdog ruled ‘deceptive’ may not get a cent back Advocates are appealing for government help as Aboriginal Community Benefit Fund No. 2 goes into administration,0.4939,0.153,0.78,0.067,positive
2021-12-24,Airport chaos as Christmas flights cancelled over Covid surge – as it happened,This blog is now closed,The Guardian,Australia news,https://www.theguardian.com/australia-news/live/2021/dec/24/australia-covid-news-live-mask-mandate-restrictions-sydney-melbourne-morrison-politics-corona-omicron-queensland-hospital-perth-antigen-booster-christmas,"""Commonwealth Bank""",Airport chaos as Christmas flights cancelled over Covid surge – as it happened This blog is now closed,-0.6908,0.0,0.737,0.263,negative
2022-01-12,Job vacancies surge in Australia as Covid labour shortages choke supply chains,"Openings spiked in late 2021 as lockdowns ended, data shows, and experts say staffing issues now ‘way worse’ than in Delta wave",The Guardian,Business,https://www.theguardian.com/business/2022/jan/12/job-vacancies-surge-in-australia-as-covid-labour-shortages-choke-supply-chains,"""Commonwealth Bank""","Job vacancies surge in Australia as Covid labour shortages choke supply chains Openings spiked in late 2021 as lockdowns ended, data shows, and experts say staffing issues now ‘way worse’ than in Delta wave",-0.6249,0.0,0.863,0.137,negative
2022-01-14,Dirty cash and crypto: how the booming cryptocurrency market is open to exploitation,"As the legitimate use of digital currencies grows, there has been a comparable rise in abuse, cybercrime experts say",The Guardian,Australia news,https://www.theguardian.com/australia-news/2022/jan/15/dirty-cash-and-crypto-how-the-booming-cryptocurrency-market-is-open-to-exploitation,"""Commonwealth Bank""","Dirty cash and crypto: how the booming cryptocurrency market is open to exploitation As the legitimate use of digital currencies grows, there has been a comparable rise in abuse, cybercrime experts say",-0.7964,0.0,0.809,0.191,negative
2022-01-18,Australia records 77 deaths on deadliest day of pandemic; national medical stockpile activated – as it happened,Follow all the day’s news,The Guardian,Australia news,https://www.theguardian.com/australia-news/live/2022/jan/18/australia-news-live-update-novak-djokovic-arrives-back-in-serbia-covid-tsunami-rapid-antigen-tests-scott-morrison-booster-cases-perrottet-andrews-australia-and-nz-flights-to-tonga-report-significant-damage,"""Commonwealth Bank""",Australia records 77 deaths on deadliest day of pandemic; national medical stockpile activated – as it happened Follow all the day’s news,0.0,0.0,1.0,0.0,neutral
2022-01-25,Record fuel prices and cost of new homes push inflation to fastest pace since mid-2014,"Australia’s underlying rate of inflation increased to 2.6% annually, which was higher than market expectations",The Guardian,Business,https://www.theguardian.com/business/2022/jan/25/record-fuel-prices-and-cost-of-new-homes-pushes-inflation-to-fastest-pace-since-mid-2014,"""Commonwealth Bank""","Record fuel prices and cost of new homes push inflation to fastest pace since mid-2014 Australia’s underlying rate of inflation increased to 2.6% annually, which was higher than market expectations",0.2732,0.068,0.932,0.0,positive
2022-01-25,Nation records 76 Covid deaths as Albanese reveals Labor election priorities – as it happened,This blog is now closed,The Guardian,Australia news,https://www.theguardian.com/australia-news/live/2022/jan/25/australia-news-live-update-covid-coronavirus-omicron-politics-labor-coalition,"""Commonwealth Bank""",Nation records 76 Covid deaths as Albanese reveals Labor election priorities – as it happened This blog is now closed,0.0,0.0,1.0,0.0,neutral
2022-02-02,Nation records 69 Covid deaths as hospital numbers fall – as it happened,This blog is now closed,The Guardian,Australia news,https://www.theguardian.com/australia-news/live/2022/feb/02/australia-news-live-coronavirus-omicron-nsw-victoria-queensland-scott-morrison-weather,"""Commonwealth Bank""",Nation records 69 Covid deaths as hospital numbers fall – as it happened This blog is now closed,0.0,0.0,1.0,0.0,neutral
2022-02-10,‘Just-in-time to just-in-case’: EU’s $49bn chip plan shows tectonic shift in global economy,Ursula von der Leyen says chips are ‘bedrock of our modern economies’ but the pandemic has exposed supply vulnerabilities,The Guardian,Business,https://www.theguardian.com/technology/2022/feb/09/eu-hopes-43bn-plan-will-fix-chip-shortages-as-supply-chain-crisis-bites,"""Commonwealth Bank""",‘Just-in-time to just-in-case’: EU’s $49bn chip plan shows tectonic shift in global economy Ursula von der Leyen says chips are ‘bedrock of our modern economies’ but the pandemic has exposed supply vulnerabilities,-0.3291,0.0,0.9,0.1,negative
2022-02-12,Australia’s supply chain issues likely to continue despite drop in Covid cases,Uncertain delivery times and shortage of freight space force Australian importers into alternative financing arrangements,The Guardian,Australia news,https://www.theguardian.com/australia-news/2022/feb/13/australias-supply-chain-issues-likely-to-continue-despite-drop-in-covid-cases,"""Commonwealth Bank""",Australia’s supply chain issues likely to continue despite drop in Covid cases Uncertain delivery times and shortage of freight space force Australian importers into alternative financing arrangements,-0.3369,0.06,0.8,0.14,negative
2022-02-22,Australian petrol price hikes and market jitters set to continue as Ukraine crisis worsens,Stock markets drop as Russian troops cross border but economists don’t believe domestic economy will be derailed,The Guardian,Business,https://www.theguardian.com/business/2022/feb/22/australian-petrol-price-hikes-and-market-jitters-set-to-continue-as-ukraine-crisis-worsens,"""Commonwealth Bank""",Australian petrol price hikes and market jitters set to continue as Ukraine crisis worsens Stock markets drop as Russian troops cross border but economists don’t believe domestic economy will be derailed,-0.8047,0.0,0.745,0.255,negative
2022-03-02,"Median home price could fall below $1m in Sydney and about $700,000 in Melbourne next year","Nationally there could be an 8% drop in prices, modelling by RateCity using Commonwealth Bank housing forecasts suggests",The Guardian,Australia news,https://www.theguardian.com/australia-news/2022/mar/02/median-home-price-could-fall-below-1m-in-sydney-and-about-700000-in-melbourne-next-year,"""Commonwealth Bank""","Median home price could fall below $1m in Sydney and about $700,000 in Melbourne next year Nationally there could be an 8% drop in prices, modelling by RateCity using Commonwealth Bank housing forecasts suggests",-0.2732,0.0,0.94,0.06,negative
2022-03-03,Sydney spared worst of rain but Newcastle still under threat – as it happened,This blog is now closed,The Guardian,Australia news,https://www.theguardian.com/australia-news/live/2022/mar/03/australia-news-live-updates-flood-nsw-queensland-weather-rain-sydney-scott-morrison-covid-coronavirus-omicron,"""Commonwealth Bank""",Sydney spared worst of rain but Newcastle still under threat – as it happened This blog is now closed,-0.7992,0.0,0.704,0.296,negative
2022-03-03,‘Black hole’: telecommunications outage hampering flood rescues and recovery in northern NSW,Ballina mayor calls for mobile Telstra tower to be set up urgently to ease residents’ distress,The Guardian,Australia news,https://www.theguardian.com/australia-news/2022/mar/04/black-hole-telecommunications-outage-hampering-flood-rescues-and-recovery-in-northern-nsw,"""Commonwealth Bank""",‘Black hole’: telecommunications outage hampering flood rescues and recovery in northern NSW Ballina mayor calls for mobile Telstra tower to be set up urgently to ease residents’ distress,0.1027,0.145,0.753,0.102,positive
2022-04-08,Government defends flurry of appointments to key roles of former Coalition staffers and MPs,Morrison government accused of rushing in appointments prior to election amid latest announcements,The Guardian,Australia news,https://www.theguardian.com/australia-news/2022/apr/09/government-defends-flurry-of-appointments-to-key-roles-of-former-coalition-staffers-and-mps,"""Commonwealth Bank""",Government defends flurry of appointments to key roles of former Coalition staffers and MPs Morrison government accused of rushing in appointments prior to election amid latest announcements,-0.296,0.0,0.922,0.078,negative
2022-04-21,"NSW employers can still require staff Covid jabs, despite end of most mandates, say workplace lawyers",Vaccine mandates will remain in place for now in Victoria as authorities work with individual industries,The Guardian,Australia news,https://www.theguardian.com/australia-news/2022/apr/22/nsw-employers-can-still-require-staff-covid-jabs-despite-end-of-most-mandates-say-workplace-lawyers,"""Commonwealth Bank""","NSW employers can still require staff Covid jabs, despite end of most mandates, say workplace lawyers Vaccine mandates will remain in place for now in Victoria as authorities work with individual industries",0.0,0.0,1.0,0.0,neutral
2022-04-26,Consumer inflation tipped to hit 4.5% in March as Australian cost of living soars,"Petrol, produce and mortgage costs are rising powered by pandemic shortages, flood damage and the war in Ukraine",The Guardian,Business,https://www.theguardian.com/business/2022/apr/27/consumer-inflation-tipped-to-hit-45-in-march-as-australian-cost-of-living-soars,"""Commonwealth Bank""","Consumer inflation tipped to hit 4.5% in March as Australian cost of living soars Petrol, produce and mortgage costs are rising powered by pandemic shortages, flood damage and the war in Ukraine",-0.8271,0.0,0.769,0.231,negative
2022-04-27,Labor says households face ‘triple whammy’ after CPI shock – as it happened,This blog is now closed,The Guardian,Australia news,https://www.theguardian.com/australia-news/live/2022/apr/27/australia-politics-news-live-updates-scott-morrison-anthony-albanese-federal-election-2022-coalition-labor-nsw-victoria-qld-covid-coronavirus-net-zero,"""Commonwealth Bank""",Labor says households face ‘triple whammy’ after CPI shock – as it happened This blog is now closed,-0.3818,0.0,0.867,0.133,negative
2022-04-28,Frydenberg expects ‘close’ battle to hold seat as Labor cost of living attacks continue – as it happened,Follow all the day’s news,The Guardian,Australia news,https://www.theguardian.com/australia-news/live/2022/apr/28/australia-politics-live-updates-election-2022-scott-morrison-anthony-albanese-weather-nsw-victoria-queensland-covid-coronavirus,"""Commonwealth Bank""",Frydenberg expects ‘close’ battle to hold seat as Labor cost of living attacks continue – as it happened Follow all the day’s news,-0.6705,0.0,0.792,0.208,negative
2022-04-28,Interest rates are set to start rising. What does that mean for mortgage holders and homebuyers?,The RBA could hike rates as early as May. Will borrowers race towards fixed-rate home loans?,The Guardian,Business,https://www.theguardian.com/business/2022/apr/29/interest-rates-are-set-to-start-rising-what-does-that-mean-for-mortgage-holders-and-homebuyers,"""Commonwealth Bank""",Interest rates are set to start rising. What does that mean for mortgage holders and homebuyers? The RBA could hike rates as early as May. Will borrowers race towards fixed-rate home loans?,0.5204,0.098,0.902,0.0,positive
2022-05-03,ANZ and CBA to raise after central bank decision – as it happened,This blog is now closed,The Guardian,Australia news,https://www.theguardian.com/australia-news/live/2022/may/03/australia-politics-live-updates-federal-election-2022-labor-coalition-scott-morrison-anthony-albanese-rba-interest-rates-weather-covid,"""Commonwealth Bank""",ANZ and CBA to raise after central bank decision – as it happened This blog is now closed,0.0,0.0,1.0,0.0,neutral
2022-05-03,Shock interest rate rise shows Australia’s economic exceptionalism is fading,"RBA’s decision is, in the words of one economist, ‘a radical revision’. Could this turn a plateauing of property prices into a rout?",The Guardian,Australia news,https://www.theguardian.com/australia-news/2022/may/04/shock-interest-rate-rise-shows-australias-economic-exceptionalism-is-fading,"""Commonwealth Bank""","Shock interest rate rise shows Australia’s economic exceptionalism is fading RBA’s decision is, in the words of one economist, ‘a radical revision’. Could this turn a plateauing of property prices into a rout?",0.1027,0.082,0.847,0.071,positive
2022-05-19,Commonwealth Bank pauses in-app cryptocurrency trading after market turmoil,Bank says it will pause rollout of app-based trading of assets like bitcoin and Ethereum pending further regulation,The Guardian,Australia news,https://www.theguardian.com/australia-news/2022/may/19/commonwealth-bank-pauses-in-app-cryptocurrency-trading-after-market-turmoil,"""Commonwealth Bank""",Commonwealth Bank pauses in-app cryptocurrency trading after market turmoil Bank says it will pause rollout of app-based trading of assets like bitcoin and Ethereum pending further regulation,0.1779,0.137,0.782,0.081,positive
2022-05-19,Plibersek says Albanese has a ‘tough job’ as polls tighten – as it happened,Follow all the day’s developments live,The Guardian,Australia news,https://www.theguardian.com/australia-news/live/2022/may/19/australian-election-2022-live-news-australia-federal-anthony-albanese-scott-morrison-coalition-labor-politics-latest-updates-costings-marginal-seats-covid,"""Commonwealth Bank""",Plibersek says Albanese has a ‘tough job’ as polls tighten – as it happened Follow all the day’s developments live,0.0,0.0,1.0,0.0,neutral
2022-05-25,‘Go after the money’: Goldman environmental prize winner honoured for urging banks to divest from coal,Julien Vincent’s Market Forces organisation started with a spare laptop and a spare bedroom before raising the ire of the former Coalition government,The Guardian,Environment,https://www.theguardian.com/environment/2022/may/25/go-after-the-money-goldman-environmental-prize-winner-honoured-for-urging-banks-to-divest-from-coal,"""Commonwealth Bank""",‘Go after the money’: Goldman environmental prize winner honoured for urging banks to divest from coal Julien Vincent’s Market Forces organisation started with a spare laptop and a spare bedroom before raising the ire of the former Coalition government,0.8834,0.222,0.778,0.0,positive
2022-05-27,NSW paramedics take industrial action; interest rate rises predicted – as it happened,This blog is now closed,The Guardian,Australia news,https://www.theguardian.com/australia-news/live/2022/may/27/australia-news-live-update-darren-chester-to-challenge-barnaby-joyce-for-nationals-leadership-albanese-talks-to-macron-scott-morrison-asylum-seeker-boat-sri-lanka-peter-dutton-federal-election-2022,"""Commonwealth Bank""",NSW paramedics take industrial action; interest rate rises predicted – as it happened This blog is now closed,0.4588,0.15,0.85,0.0,positive
2022-05-30,"‘Complex and volatile’: cryptocurrencies should be regulated by financial watchdogs, say consumer advocates ",Treasury inquiry told ‘crypto is high-risk and unsophisticated investors are at high risk of losing significant funds’,The Guardian,Technology,https://www.theguardian.com/technology/2022/may/31/complex-and-volatile-cryptocurrencies-should-be-regulated-by-financial-watchdogs-say-consumer-advocates,"""Commonwealth Bank""","‘Complex and volatile’: cryptocurrencies should be regulated by financial watchdogs, say consumer advocates  Treasury inquiry told ‘crypto is high-risk and unsophisticated investors are at high risk of losing significant funds’",-0.5106,0.101,0.704,0.194,negative
2022-06-02,"Not just Super Netball grand final decision that is questionable, it is the timing too",News the showpiece event has been sold off to the highest bidder has understandably prompted blowback,The Guardian,Sport,https://www.theguardian.com/sport/2022/jun/02/not-just-super-netball-grand-final-decision-that-is-questionable-it-is-the-timing-too,"""Commonwealth Bank""","Not just Super Netball grand final decision that is questionable, it is the timing too News the showpiece event has been sold off to the highest bidder has understandably prompted blowback",-0.3283,0.083,0.77,0.147,negative
2022-06-06,PM calls Putin’s actions ‘abhorrent’ after confirming he’ll attend G20 – as it happened,All the day’s developments as they unfolded,The Guardian,Australia news,https://www.theguardian.com/australia-news/live/2022/jun/06/australia-news-live-updates-albanese-dutton-indonesia-wong-china-security-aged-care-economy,"""Commonwealth Bank""",PM calls Putin’s actions ‘abhorrent’ after confirming he’ll attend G20 – as it happened All the day’s developments as they unfolded,0.0,0.0,1.0,0.0,neutral
2022-06-07,‘We can do much more’: Albanese calls on business to look past China to opportunities in Indonesia,Prime minister says there is significant opportunity for Australian companies in Indonesia’s growing economy,The Guardian,Australia news,https://www.theguardian.com/australia-news/2022/jun/07/we-can-do-much-more-albanese-calls-on-business-to-look-past-china-to-opportunities-in-indonesia,"""Commonwealth Bank""",‘We can do much more’: Albanese calls on business to look past China to opportunities in Indonesia Prime minister says there is significant opportunity for Australian companies in Indonesia’s growing economy,0.7845,0.248,0.752,0.0,positive
2022-06-08,Ministers to allow energy market operator to procure and store gas – as it happened,This blog is now closed,The Guardian,Australia news,https://www.theguardian.com/australia-news/live/2022/jun/08/australia-live-news-update-energy-emergency-talks-anthony-albanese-indonesia-interest-rates-labor-coalition,"""Commonwealth Bank""",Ministers to allow energy market operator to procure and store gas – as it happened This blog is now closed,0.4588,0.182,0.818,0.0,positive
2022-06-09,"Morning mail: Nadesalingams release gives hope, Britons sentenced to death, the ‘triple La Niña’",<strong>Friday</strong>: Biloela to welcome family of Tamil asylum seekers as others look for an end to indefinite detention. Plus: tips to revive your social life,The Guardian,Australia news,https://www.theguardian.com/australia-news/2022/jun/10/morning-mail-nadesalingams-release-gives-hope-britons-sentenced-to-death-the-triple-la-nina,"""Commonwealth Bank""","Morning mail: Nadesalingams release gives hope, Britons sentenced to death, the ‘triple La Niña’ <strong>Friday</strong>: Biloela to welcome family of Tamil asylum seekers as others look for an end to indefinite detention. Plus: tips to revive your social life",0.2023,0.17,0.676,0.154,positive
2022-06-15,"Consumer confidence plunges to worst level since peak of pandemic, Westpac survey shows",Experts say stretched businesses could face further pain as people cut spending and award wages rise,The Guardian,Australia news,https://www.theguardian.com/australia-news/2022/jun/15/consumer-confidence-plunges-to-worst-level-since-peak-of-pandemic-westpac-survey-shows,"""Commonwealth Bank""","Consumer confidence plunges to worst level since peak of pandemic, Westpac survey shows Experts say stretched businesses could face further pain as people cut spending and award wages rise",-0.4019,0.169,0.596,0.236,negative
